repository,pr,ga,v_old,v_new,update_type
hantsy/jakartaee10-starter-boilerplate,19,io.openliberty.tools:liberty-maven-plugin,3.8,3.8.2,patch
albilu/netbeansPython,74,org.json:json,20230618,20231013,major
albilu/netbeansPython,68,com.electronwill.night-config:toml,3.6.6,3.6.7,patch
albilu/netbeansPython,67,com.google.guava:guava,32.0.1-jre,32.1.2-jre,minor
albilu/netbeansPython,66,se.bjurr.gitchangelog:git-changelog-maven-plugin,1.97.1,1.100.6,minor
albilu/netbeansPython,65,com.electronwill.night-config:core,3.6.6,3.6.7,patch
albilu/netbeansPython,60,se.bjurr.gitchangelog:git-changelog-maven-plugin,1.97.0,1.97.1,patch
albilu/netbeansPython,59,com.konghq:unirest-java,3.14.2,3.14.5,patch
YehiaFarghaly/database-engine,119,com.opencsv:opencsv,5.8,5.9,minor
YehiaFarghaly/database-engine,100,com.opencsv:opencsv,5.7.1,5.8,minor
openbrms/openbrms,62,com.google.cloud.tools:jib-maven-plugin,3.4.0,3.4.1,patch
openbrms/openbrms,28,com.google.cloud.tools:jib-maven-plugin,3.3.2,3.4.0,minor
openbrms/openbrms,16,org.slf4j:slf4j-api,1.7.36,2.0.7,major
apache/eventmesh-dashboard,127,org.springdoc:springdoc-openapi-ui,1.7.0,1.8.0,minor
apache/eventmesh-dashboard,125,com.alibaba.fastjson2:fastjson2,2.0.40,2.0.49,patch
apache/eventmesh-dashboard,115,org.apache.rocketmq:rocketmq-client,4.9.4,4.9.8,patch
apache/eventmesh-dashboard,114,org.apache.maven.plugins:maven-compiler-plugin,3.8.1,3.13.0,minor
apache/eventmesh-dashboard,113,io.etcd:jetcd-core,0.7.5,0.7.7,patch
apache/eventmesh-dashboard,110,org.apache.rocketmq:rocketmq-tools,4.9.4,4.9.8,patch
apache/eventmesh-dashboard,108,com.alibaba:druid-spring-boot-starter,1.2.21,1.2.22,patch
apache/eventmesh-dashboard,107,org.springdoc:springdoc-openapi-javadoc,1.7.0,1.8.0,minor
apache/eventmesh-dashboard,106,com.alibaba.nacos:nacos-client,2.1.2,2.3.2,minor
making/retryable-client-http-request-interceptor,20,io.spring.javaformat:spring-javaformat-maven-plugin,0.0.39,0.0.41,patch
making/retryable-client-http-request-interceptor,14,org.apache.maven.plugins:maven-surefire-plugin,3.1.2,3.2.2,minor
artemnefedov/JavaAI,47,org.apache.maven.plugins:maven-jar-plugin,3.4.0,3.4.1,patch
artemnefedov/JavaAI,43,org.apache.maven.plugins:maven-jar-plugin,3.3.0,3.4.0,minor
artemnefedov/JavaAI,32,org.junit.jupiter:junit-jupiter-engine,5.10.1,5.10.2,patch
artemnefedov/JavaAI,25,org.junit.jupiter:junit-jupiter-engine,5.10.0,5.10.1,patch
artemnefedov/JavaAI,20,org.yaml:snakeyaml,2.1,2.2,minor
artemnefedov/JavaAI,19,ch.qos.logback:logback-classic,1.4.9,1.4.11,patch
artemnefedov/JavaAI,18,ch.qos.logback:logback-classic,1.4.8,1.4.9,patch
artemnefedov/JavaAI,17,org.yaml:snakeyaml,2.0,2.1,minor
artemnefedov/JavaAI,16,org.junit.jupiter:junit-jupiter-engine,5.9.3,5.10.0,minor
quarkiverse/quarkus-jnosql,36,org.apache.solr:solr-solrj,9.2.1,9.3.0,minor
huanmeng-qwq/Gui,7,org.apache.maven.plugins:maven-gpg-plugin,3.0.1,3.2.3,minor
huanmeng-qwq/Gui,6,org.apache.maven.plugins:maven-shade-plugin,3.2.3,3.5.2,minor
